Soil Type,Temperature,Rainfall,Suitable Crop Pairs
Loamy,29.16,475.91,Corn + Beans
Loamy,20.51,462.14,Lettuce + Carrots
Loamy,21.18,538.49,Spinach + Strawberry
Loamy,22.01,434.51,Cucumber + Watermelon
Loamy,21.47,486.43,Lettuce + Carrots
Loamy,25.75,451.25,Lettuce + Carrots
Loamy,27.94,498.12,Spinach + Strawberry
Loamy,29.83,606.97,Spinach + Strawberry
Loamy,27.13,461.96,Corn + Beans
Loamy,21.69,478.15,Lettuce + Carrots
Loamy,28.23,642.13,Spinach + Strawberry
Loamy,21.69,404.98,Spinach + Strawberry
Loamy,24.43,651.22,Cucumber + Watermelon
Loamy,22,487.21,Spinach + Strawberry
Loamy,29.07,422.97,Cucumber + Watermelon
Loamy,25.2,599,Spinach + Strawberry
Loamy,25.42,680.47,Lettuce + Carrots
Loamy,25.45,508.97,Cucumber + Watermelon
Loamy,29.44,538.66,Corn + Beans
Loamy,21.39,561.17,Cucumber + Watermelon
Loamy,25.66,570.83,Spinach + Strawberry
Loamy,21.05,561.76,Lettuce + Carrots
Loamy,21.39,631.4,Spinach + Strawberry
Loamy,21.52,513.69,Lettuce + Carrots
Loamy,28.9,444.94,Lettuce + Carrots
Loamy,23.77,689.71,Spinach + Strawberry
Loamy,27.58,652.75,Cucumber + Watermelon
Loamy,22.57,624.01,Spinach + Strawberry
Loamy,23.65,692.67,Cucumber + Watermelon
Loamy,22.39,473.89,Corn + Beans
Loamy,24.47,594.01,Spinach + Strawberry
Loamy,21.05,533.4,Corn + Beans
Loamy,24.43,434.49,Lettuce + Carrots
Loamy,29.5,456.68,Lettuce + Carrots
Loamy,23.35,483.99,Lettuce + Carrots
Loamy,27.31,663.53,Corn + Beans
Loamy,23.66,656.02,Lettuce + Carrots
Loamy,23.42,688.06,Lettuce + Carrots
Loamy,20.77,580.97,Cucumber + Watermelon
Loamy,24.13,692.7,Lettuce + Carrots
Loamy,22.02,438.21,Corn + Beans
Loamy,25.77,517.03,Spinach + Strawberry
Loamy,20.89,452.76,Corn + Beans
Loamy,23.49,468.3,Lettuce + Carrots
Loamy,24.53,692.69,Spinach + Strawberry
Loamy,26.55,680.52,Spinach + Strawberry
Loamy,26.49,490.29,Lettuce + Carrots
Loamy,25.17,612.47,Corn + Beans
Loamy,27.02,416.27,Lettuce + Carrots
Loamy,28.09,562.31,Spinach + Strawberry
Loamy,27.59,609.39,Spinach + Strawberry
Loamy,20.06,666.68,Lettuce + Carrots
Loamy,29.89,673.99,Lettuce + Carrots
Loamy,22.97,444.04,Spinach + Strawberry
Loamy,22.36,404.7,Corn + Beans
Loamy,20.92,520.94,Corn + Beans
Loamy,24.57,593.38,Spinach + Strawberry
Loamy,21.53,428.44,Corn + Beans
Loamy,23.81,589.07,Spinach + Strawberry
Loamy,20.88,645.27,Lettuce + Carrots
Loamy,25.57,668.18,Lettuce + Carrots
Loamy,25.38,426.13,Spinach + Strawberry
Loamy,26.66,432.61,Lettuce + Carrots
Loamy,24.66,440.37,Spinach + Strawberry
Loamy,26.37,444.51,Corn + Beans
Loamy,25.25,463.24,Lettuce + Carrots
Loamy,25.65,676.11,Lettuce + Carrots
Loamy,27.44,617.15,Cucumber + Watermelon
Loamy,23.83,581.38,Spinach + Strawberry
Loamy,24.99,539.81,Lettuce + Carrots
Loamy,27.12,478.3,Lettuce + Carrots
Loamy,28.15,615.3,Spinach + Strawberry
Loamy,28.31,654.8,Spinach + Strawberry
Loamy,28.09,497.31,Lettuce + Carrots
Loamy,23.26,639.01,Lettuce + Carrots
Loamy,27.48,533.24,Corn + Beans
Loamy,29.4,539.42,Spinach + Strawberry
Loamy,25.2,514.16,Corn + Beans
Loamy,27.41,648.9,Lettuce + Carrots
Loamy,26.37,602.12,Lettuce + Carrots
Loamy,26.16,659.12,Lettuce + Carrots
Loamy,24.64,522.94,Cucumber + Watermelon
Loamy,28.96,676.02,Lettuce + Carrots
Loamy,25.78,539.47,Corn + Beans
Loamy,22.34,637.03,Lettuce + Carrots
Loamy,29.99,682.59,Spinach + Strawberry
Loamy,21.12,581.75,Lettuce + Carrots
Loamy,24.45,699.27,Corn + Beans
Loamy,21.07,691.89,Cucumber + Watermelon
Loamy,27.27,679.54,Lettuce + Carrots
Loamy,27.5,445.27,Spinach + Strawberry
Loamy,27.94,536.31,Corn + Beans
Loamy,22.31,647.56,Spinach + Strawberry
Loamy,22.75,453.85,Cucumber + Watermelon
Loamy,25.77,554.72,Cucumber + Watermelon
Loamy,20.06,581.97,Corn + Beans
Loamy,29.43,466.05,Corn + Beans
Loamy,24.28,533.44,Cucumber + Watermelon
Loamy,27.45,466.19,Lettuce + Carrots
Loamy,21.1,516.01,Cucumber + Watermelon
Loamy,29.36,421.04,Corn + Beans
Loamy,24.96,684.75,Spinach + Strawberry
Loamy,28.51,435.99,Lettuce + Carrots
Loamy,20.08,462.27,Corn + Beans
Loamy,25.85,558.56,Spinach + Strawberry
Loamy,25.31,537.93,Corn + Beans
Loamy,20.03,470.43,Spinach + Strawberry
Loamy,24.27,654.95,Spinach + Strawberry
Loamy,23.96,663.16,Spinach + Strawberry
Loamy,28.55,614.08,Spinach + Strawberry
Loamy,24.91,565.71,Cucumber + Watermelon
Loamy,21.85,652.92,Lettuce + Carrots
Loamy,20.94,436.33,Lettuce + Carrots
Loamy,28.38,493.7,Cucumber + Watermelon
Loamy,21.77,439.58,Corn + Beans
Loamy,23.22,647.18,Lettuce + Carrots
Loamy,24.41,529.87,Spinach + Strawberry
Loamy,24.46,687.92,Corn + Beans
Loamy,23.8,547.15,Lettuce + Carrots
Loamy,23.86,619.37,Cucumber + Watermelon
Loamy,28.48,425.75,Cucumber + Watermelon
Loamy,20.87,651.1,Cucumber + Watermelon
Loamy,27.18,447.83,Spinach + Strawberry
Loamy,24.03,637.68,Corn + Beans
Loamy,25.77,477,Spinach + Strawberry
Loamy,25.39,677.46,Corn + Beans
Loamy,27.83,423.53,Cucumber + Watermelon
Loamy,24.86,639.58,Lettuce + Carrots
Loamy,22.77,652.54,Cucumber + Watermelon
Loamy,21.53,469.75,Lettuce + Carrots
Loamy,21.49,664.61,Lettuce + Carrots
Loamy,28.1,690.9,Corn + Beans
Loamy,28.64,681.8,Spinach + Strawberry
Loamy,21.86,465.49,Spinach + Strawberry
Loamy,20.19,561.41,Cucumber + Watermelon
Loamy,21.09,462.27,Spinach + Strawberry
Loamy,25.43,555.59,Cucumber + Watermelon
Loamy,23.75,634.84,Corn + Beans
Loamy,27.08,454.76,Corn + Beans
Loamy,23.53,413.5,Corn + Beans
Loamy,22.69,578.35,Cucumber + Watermelon
Loamy,21.54,449.47,Cucumber + Watermelon
Loamy,27.52,404.81,Corn + Beans
Loamy,29.22,516.37,Cucumber + Watermelon
Loamy,27.1,653.01,Lettuce + Carrots
Loamy,26.49,589.35,Lettuce + Carrots
Loamy,28.25,510.12,Lettuce + Carrots
Loamy,20.76,496.3,Lettuce + Carrots
Loamy,25.9,661.29,Corn + Beans
Loamy,24.77,509.18,Corn + Beans
Loamy,29.55,472.89,Cucumber + Watermelon
Loamy,23.14,660.49,Spinach + Strawberry
Loamy,28.37,664.51,Corn + Beans
Loamy,27.56,639.97,Spinach + Strawberry
Loamy,21.74,590.15,Corn + Beans
Loamy,24.72,495.1,Corn + Beans
Loamy,28.88,546.17,Lettuce + Carrots
Loamy,20.13,464.29,Corn + Beans
Loamy,22.81,579.18,Cucumber + Watermelon
Loamy,23.16,597.8,Spinach + Strawberry
Loamy,25.21,685,Cucumber + Watermelon
Loamy,25.37,577,Spinach + Strawberry
Loamy,20.87,544.69,Lettuce + Carrots
Loamy,25.6,517.38,Spinach + Strawberry
Loamy,22.05,658.85,Cucumber + Watermelon
Loamy,24.57,535.8,Spinach + Strawberry
Loamy,26.78,663.37,Lettuce + Carrots
Loamy,23.65,478.22,Corn + Beans
Loamy,29.37,570.78,Lettuce + Carrots
Loamy,24.64,671.78,Lettuce + Carrots
Loamy,25.78,470.69,Spinach + Strawberry
Loamy,28.12,409.65,Cucumber + Watermelon
Loamy,24.33,572.87,Spinach + Strawberry
Loamy,20.96,542.31,Corn + Beans
Loamy,27.76,452.78,Spinach + Strawberry
Loamy,22.13,662.97,Lettuce + Carrots
Loamy,23.22,419.37,Spinach + Strawberry
Loamy,25.55,482.44,Spinach + Strawberry
Loamy,25.62,414.17,Corn + Beans
Loamy,28,542.94,Corn + Beans
Loamy,20.59,669.59,Cucumber + Watermelon
Loamy,28.64,528.09,Cucumber + Watermelon
Loamy,24.51,435.42,Cucumber + Watermelon
Loamy,25.15,653.13,Spinach + Strawberry
Loamy,25.49,681.43,Spinach + Strawberry
Loamy,26.45,405.81,Lettuce + Carrots
Loamy,21.49,652.37,Lettuce + Carrots
Loamy,29.57,609.73,Lettuce + Carrots
Loamy,22.63,640.1,Corn + Beans
Loamy,21.57,513.39,Corn + Beans
Loamy,29.3,418.69,Cucumber + Watermelon
Loamy,22.16,542.72,Lettuce + Carrots
Loamy,26.14,497.61,Corn + Beans
Loamy,29.25,422.76,Lettuce + Carrots
Loamy,24.96,493.34,Lettuce + Carrots
Loamy,29.78,562.03,Spinach + Strawberry
Loamy,28.88,522.43,Spinach + Strawberry
Loamy,23.54,424.06,Corn + Beans
Loamy,27.95,488.79,Corn + Beans
Loamy,24.77,466.04,Spinach + Strawberry
Loamy,22.81,621.96,Spinach + Strawberry
Loamy,22.58,474.43,Corn + Beans
Loamy,24.68,684.59,Lettuce + Carrots
Loamy,20.38,510.85,Spinach + Strawberry
Loamy,26.48,463.92,Cucumber + Watermelon
Loamy,22.99,630.74,Cucumber + Watermelon
Loamy,22.99,610.91,Lettuce + Carrots
Loamy,26.03,648.89,Spinach + Strawberry
Loamy,24.76,402.93,Cucumber + Watermelon
Loamy,28.17,546.11,Corn + Beans
Loamy,21.85,614.89,Spinach + Strawberry
Loamy,25.01,475.88,Cucumber + Watermelon
Loamy,25.28,541.64,Cucumber + Watermelon
Loamy,22.35,647.34,Corn + Beans
Loamy,21.67,637.62,Spinach + Strawberry
Loamy,22.39,570.15,Corn + Beans
Loamy,29.06,549.35,Spinach + Strawberry
Loamy,21.85,450.77,Lettuce + Carrots
Loamy,21.43,448.5,Spinach + Strawberry
Loamy,22.94,634.27,Corn + Beans
Loamy,20.88,618.79,Lettuce + Carrots
Loamy,21.81,608.22,Cucumber + Watermelon
Loamy,29.2,630.77,Corn + Beans
Loamy,26.23,690.64,Corn + Beans
Loamy,27.72,533.3,Lettuce + Carrots
Loamy,29.23,415.04,Corn + Beans
Loamy,21.59,585.16,Lettuce + Carrots
Loamy,21.62,655.61,Cucumber + Watermelon
Loamy,29.23,476.29,Cucumber + Watermelon
Loamy,21.73,660.92,Lettuce + Carrots
Loamy,24.97,469.59,Spinach + Strawberry
Loamy,25.61,595.35,Cucumber + Watermelon
Loamy,28.44,677.01,Cucumber + Watermelon
Loamy,28.14,531.39,Corn + Beans
Loamy,23.18,516.56,Corn + Beans
Loamy,25.41,536.53,Cucumber + Watermelon
Loamy,23.05,613.77,Lettuce + Carrots
Loamy,23.03,504.03,Cucumber + Watermelon
Loamy,21.63,515.75,Corn + Beans
Loamy,25.3,664.66,Corn + Beans
Loamy,26.49,429.96,Spinach + Strawberry
Loamy,23.62,667.69,Cucumber + Watermelon
Loamy,20.16,648.94,Spinach + Strawberry
Loamy,24.33,674.96,Lettuce + Carrots
Loamy,29.02,548.1,Lettuce + Carrots
Loamy,27.7,618.99,Cucumber + Watermelon
Loamy,26.96,421.33,Lettuce + Carrots
Loamy,20.95,621.3,Spinach + Strawberry
Loamy,21.36,594.7,Spinach + Strawberry
Loamy,20.39,412.99,Corn + Beans
Loamy,20.09,416.14,Spinach + Strawberry
Loamy,29.52,564.69,Lettuce + Carrots
Loamy,27.56,613.28,Spinach + Strawberry
Loamy,21.03,528.65,Cucumber + Watermelon
Loamy,23.78,430.55,Corn + Beans
Loamy,26.52,452.73,Spinach + Strawberry
Loamy,23.04,628.43,Lettuce + Carrots
Loamy,25.21,455.01,Spinach + Strawberry
Loamy,29.47,663.14,Spinach + Strawberry
Loamy,28.93,642.12,Lettuce + Carrots
Loamy,20.76,688.17,Spinach + Strawberry
Loamy,29.81,650.86,Lettuce + Carrots
Loamy,27.06,488.33,Cucumber + Watermelon
Loamy,20.92,470.2,Cucumber + Watermelon
Loamy,25.44,482.22,Spinach + Strawberry
Loamy,29.34,520.08,Spinach + Strawberry
Loamy,23.57,462.55,Cucumber + Watermelon
Loamy,23.28,443.46,Cucumber + Watermelon
Loamy,29.36,642.3,Spinach + Strawberry
Loamy,24.4,699.27,Cucumber + Watermelon
Loamy,25.26,537.1,Corn + Beans
Loamy,25.33,474.79,Corn + Beans
Loamy,20.23,482.8,Spinach + Strawberry
Loamy,29.09,559.99,Spinach + Strawberry
Loamy,28.27,657.15,Cucumber + Watermelon
Loamy,28.34,654.38,Spinach + Strawberry
Loamy,26.13,430.33,Cucumber + Watermelon
Loamy,21.73,676.06,Corn + Beans
Loamy,29.01,427.73,Corn + Beans
Loamy,28.73,560.13,Lettuce + Carrots
Loamy,29.91,592.46,Lettuce + Carrots
Loamy,22.16,674.75,Corn + Beans
Loamy,22.92,636.38,Spinach + Strawberry
Loamy,23.25,498.2,Spinach + Strawberry
Loamy,22.62,613.25,Corn + Beans
Loamy,22.23,632.81,Spinach + Strawberry
Loamy,22.49,500.25,Lettuce + Carrots
Loamy,29.06,569.3,Lettuce + Carrots
Loamy,26.88,518.48,Spinach + Strawberry
Loamy,26.7,482.31,Spinach + Strawberry
Loamy,22.32,645.56,Corn + Beans
Loamy,26.59,400.87,Cucumber + Watermelon
Loamy,21.6,474.95,Lettuce + Carrots
Loamy,20.42,683.58,Corn + Beans
Loamy,22.74,533.09,Corn + Beans
Loamy,28.98,430.67,Corn + Beans
Loamy,21.9,434.71,Corn + Beans
Loamy,21.69,531.5,Cucumber + Watermelon
Loamy,24,482.68,Lettuce + Carrots
Loamy,28.85,642.49,Spinach + Strawberry
Loamy,29.5,522.1,Cucumber + Watermelon
Loamy,20.14,487.76,Cucumber + Watermelon
Loamy,26.93,681.95,Corn + Beans
Loamy,29.91,666.2,Spinach + Strawberry
Loamy,28.41,477.58,Corn + Beans
Loamy,29.94,634.34,Spinach + Strawberry
Loamy,27.86,567.69,Spinach + Strawberry
Loamy,26.16,698.39,Cucumber + Watermelon
Loamy,27.74,554.56,Cucumber + Watermelon
Loamy,28.34,587.53,Spinach + Strawberry
Loamy,26.42,641.29,Spinach + Strawberry
Loamy,24.03,667.02,Spinach + Strawberry
Loamy,23.33,580.14,Lettuce + Carrots
Loamy,23.65,597.98,Corn + Beans
Loamy,24.91,447.54,Corn + Beans
Loamy,29.53,443.75,Lettuce + Carrots
Loamy,26.61,654.32,Spinach + Strawberry
Loamy,22.8,635.85,Corn + Beans
Loamy,26.44,636.94,Cucumber + Watermelon
Loamy,22.1,565.07,Spinach + Strawberry
Loamy,27.81,698.2,Corn + Beans
Loamy,28.63,419.59,Cucumber + Watermelon
Loamy,25.36,429.9,Corn + Beans
Loamy,21.61,591.66,Corn + Beans
Loamy,24.58,596.95,Lettuce + Carrots
Loamy,29.26,637.65,Corn + Beans
Loamy,22.31,494.95,Lettuce + Carrots
Loamy,20.25,510.01,Lettuce + Carrots
Loamy,24.44,697.03,Corn + Beans
Loamy,24.14,447.87,Corn + Beans
Loamy,26.7,581.77,Cucumber + Watermelon
Loamy,26.77,512.82,Corn + Beans
Loamy,21.95,598.14,Cucumber + Watermelon
Loamy,24.01,531.95,Corn + Beans
Loamy,26.45,495.54,Cucumber + Watermelon
Loamy,25.72,609.87,Corn + Beans
Loamy,28.45,672.44,Lettuce + Carrots
Loamy,20.44,502.6,Spinach + Strawberry
Loamy,23.03,678.66,Spinach + Strawberry
Loamy,20.38,457.29,Lettuce + Carrots
Loamy,23.15,645.3,Cucumber + Watermelon
Loamy,24.55,497.57,Corn + Beans
Loamy,23.95,610.95,Spinach + Strawberry
Loamy,27.17,567.05,Spinach + Strawberry
Loamy,27.73,520.98,Cucumber + Watermelon
Loamy,21.27,571.92,Spinach + Strawberry
Loamy,22.54,589.88,Spinach + Strawberry
Loamy,22.14,654.53,Corn + Beans
Loamy,24.41,426.81,Spinach + Strawberry
Loamy,22.4,615.52,Spinach + Strawberry
Loamy,27.85,691.49,Cucumber + Watermelon
Loamy,27.32,528.21,Spinach + Strawberry
Loamy,22.11,667.73,Corn + Beans
Loamy,26.9,653.1,Lettuce + Carrots
Loamy,23.56,583.55,Spinach + Strawberry
Loamy,29.22,426.12,Spinach + Strawberry
Loamy,23.88,662.1,Lettuce + Carrots
Loamy,29.24,510.36,Cucumber + Watermelon
Loamy,21.92,652.52,Cucumber + Watermelon
Loamy,25.51,635.36,Cucumber + Watermelon
Loamy,27.18,480.34,Cucumber + Watermelon
Loamy,20.08,490.54,Cucumber + Watermelon
Loamy,23.81,492.1,Cucumber + Watermelon
Loamy,28.58,631.97,Cucumber + Watermelon
Loamy,25.38,475.34,Lettuce + Carrots
Loamy,21.27,527.85,Lettuce + Carrots
Loamy,24.56,679.91,Spinach + Strawberry
Loamy,29.4,496.74,Corn + Beans
Loamy,23.68,461.26,Corn + Beans
Loamy,28.78,601.03,Lettuce + Carrots
Loamy,26.09,495.85,Cucumber + Watermelon
Loamy,25.96,558.26,Spinach + Strawberry
Loamy,22.74,476,Spinach + Strawberry
Loamy,21.44,491.28,Spinach + Strawberry
Loamy,25.63,404.01,Corn + Beans
Loamy,27.72,532.62,Corn + Beans
Loamy,20.07,685.04,Lettuce + Carrots
Loamy,25.98,558.2,Spinach + Strawberry
Loamy,24.85,699.04,Lettuce + Carrots
Loamy,28.61,429.96,Spinach + Strawberry
Loamy,22.24,695.81,Lettuce + Carrots
Loamy,21.16,418.48,Corn + Beans
Loamy,25.07,645.17,Spinach + Strawberry
Loamy,23.82,415.67,Corn + Beans
Loamy,27.96,617.45,Cucumber + Watermelon
Loamy,21.33,591.22,Corn + Beans
Loamy,23.83,438.21,Lettuce + Carrots
Loamy,28.69,547.95,Spinach + Strawberry
Loamy,30,603.08,Lettuce + Carrots
Loamy,23.45,544.78,Spinach + Strawberry
Loamy,26.92,651.66,Lettuce + Carrots
Loamy,29.69,400.9,Corn + Beans
Loamy,24.41,515.93,Corn + Beans
Loamy,21.17,621.67,Spinach + Strawberry
Loamy,23.65,683.44,Spinach + Strawberry
Loamy,26.96,698.78,Corn + Beans
Loamy,28.55,519.15,Corn + Beans
Loamy,20.32,475.27,Spinach + Strawberry
Loamy,21.75,648.95,Cucumber + Watermelon
Loamy,29.79,662.41,Lettuce + Carrots
Loamy,23.86,495.1,Cucumber + Watermelon
Loamy,20.13,481.71,Corn + Beans
Loamy,20.49,434.84,Lettuce + Carrots
Loamy,24.96,476.9,Corn + Beans
Loamy,24.4,531.73,Lettuce + Carrots
Loamy,25.03,437.74,Lettuce + Carrots
Loamy,29.14,416.62,Corn + Beans
Loamy,21.55,598.22,Spinach + Strawberry
Loamy,29.84,618.18,Spinach + Strawberry
Loamy,29.6,409.92,Lettuce + Carrots
Loamy,23.53,506.65,Lettuce + Carrots
Loamy,21.89,505.93,Corn + Beans
Loamy,29.66,484.48,Lettuce + Carrots
Loamy,25.69,482.27,Corn + Beans
Loamy,27.6,627.35,Lettuce + Carrots
Loamy,27.96,425.07,Corn + Beans
Loamy,22.8,469.11,Lettuce + Carrots
Loamy,24.71,493.95,Lettuce + Carrots
Loamy,23.25,583.48,Cucumber + Watermelon
Loamy,20.62,440.96,Lettuce + Carrots
Loamy,25.91,557.23,Corn + Beans
Loamy,22.12,585.76,Corn + Beans
Loamy,26.91,582.18,Cucumber + Watermelon
Loamy,21.69,644.74,Spinach + Strawberry
Loamy,20.72,474.4,Spinach + Strawberry
Loamy,28.05,595.99,Cucumber + Watermelon
Loamy,29.82,630.42,Cucumber + Watermelon
Loamy,29.83,480.67,Cucumber + Watermelon
Loamy,24.85,427.64,Corn + Beans
Loamy,21.07,667.81,Lettuce + Carrots
Loamy,28.65,558.23,Lettuce + Carrots
Loamy,20.26,492.77,Lettuce + Carrots
Tropical,33.13,1407.47,Cassava + Legumes
Tropical,33.34,1877.45,Sugarcane + Legumes
Tropical,26.38,1696.46,Rice + Beans (Aquaponics)
Tropical,25.58,1513.26,Banana + Papaya
Tropical,28.37,1167.89,Banana + Papaya
Tropical,25.02,1464.61,Rice + Beans (Aquaponics)
Tropical,34.1,1058.17,Rice + Beans (Aquaponics)
Tropical,34.79,1503.07,Cassava + Legumes
Tropical,28.16,903.33,Sugarcane + Legumes
Tropical,25.8,926.79,Banana + Papaya
Tropical,26.82,1419.73,Rice + Beans (Aquaponics)
Tropical,27.27,901.75,Rice + Beans (Aquaponics)
Tropical,31.31,1334.84,Cassava + Legumes
Tropical,29.61,1098.43,Cassava + Legumes
Tropical,30.55,889.12,Sugarcane + Legumes
Tropical,33.92,1287.06,Rice + Beans (Aquaponics)
Tropical,31.29,1231.78,Banana + Papaya
Tropical,30.06,1072.04,Banana + Papaya
Tropical,28,1134.04,Banana + Papaya
Tropical,26.47,1773.83,Cassava + Legumes
Tropical,28.87,1374.95,Rice + Beans (Aquaponics)
Tropical,34.14,835.94,Rice + Beans (Aquaponics)
Tropical,32.76,1091.21,Cassava + Legumes
Tropical,32.85,1802.87,Rice + Beans (Aquaponics)
Tropical,28.84,1223,Cassava + Legumes
Tropical,32.49,1553.56,Rice + Beans (Aquaponics)
Tropical,30,1572.65,Cassava + Legumes
Tropical,33.35,1948.45,Rice + Beans (Aquaponics)
Tropical,27.49,1250.19,Sugarcane + Legumes
Tropical,29.58,825.89,Sugarcane + Legumes
Tropical,31.81,1780.5,Banana + Papaya
Tropical,27.14,1027.75,Cassava + Legumes
Tropical,33.31,1903.68,Banana + Papaya
Tropical,29.91,1621,Sugarcane + Legumes
Tropical,25.73,881.55,Rice + Beans (Aquaponics)
Tropical,33.65,1228.73,Sugarcane + Legumes
Tropical,27,1090,Cassava + Legumes
Tropical,33.43,1448.56,Sugarcane + Legumes
Tropical,29.57,1405.08,Sugarcane + Legumes
Tropical,33.13,1136.94,Cassava + Legumes
Tropical,30.94,1961.37,Sugarcane + Legumes
Tropical,32.43,1278.67,Sugarcane + Legumes
Tropical,34.75,1911.04,Rice + Beans (Aquaponics)
Tropical,27.28,1688.7,Rice + Beans (Aquaponics)
Tropical,30.59,870.39,Sugarcane + Legumes
Tropical,31.14,1301.62,Sugarcane + Legumes
Tropical,30.32,1678.32,Sugarcane + Legumes
Tropical,29.55,1567.06,Rice + Beans (Aquaponics)
Tropical,32.16,1987.55,Cassava + Legumes
Tropical,27.07,1760.03,Banana + Papaya
Tropical,25.66,941.23,Sugarcane + Legumes
Tropical,27.08,1245.94,Banana + Papaya
Tropical,28.28,1724.52,Banana + Papaya
Tropical,34.2,1243.05,Sugarcane + Legumes
Tropical,30.62,1897.64,Banana + Papaya
Tropical,33.03,853.21,Rice + Beans (Aquaponics)
Tropical,32.25,818.4,Rice + Beans (Aquaponics)
Tropical,31.16,1586.45,Cassava + Legumes
Tropical,30.37,863.9,Rice + Beans (Aquaponics)
Tropical,26.58,1895.72,Cassava + Legumes
Tropical,25.12,1354.64,Rice + Beans (Aquaponics)
Tropical,30.76,1400.08,Rice + Beans (Aquaponics)
Tropical,27.85,1986.61,Rice + Beans (Aquaponics)
Tropical,33.95,1227.88,Rice + Beans (Aquaponics)
Tropical,27.27,1626.9,Sugarcane + Legumes
Tropical,26.8,1077,Rice + Beans (Aquaponics)
Tropical,33.51,1471.27,Banana + Papaya
Tropical,32.63,1782.52,Sugarcane + Legumes
Tropical,29.68,1212.64,Sugarcane + Legumes
Tropical,28.35,892.1,Banana + Papaya
Tropical,32.93,1274.78,Banana + Papaya
Tropical,30.79,1104.54,Banana + Papaya
Tropical,31.96,1247.63,Cassava + Legumes
Tropical,27.37,1705.5,Banana + Papaya
Tropical,33.34,1559.31,Banana + Papaya
Tropical,30.96,1524.33,Rice + Beans (Aquaponics)
Tropical,32.55,1148.54,Banana + Papaya
Tropical,31.13,1123.47,Rice + Beans (Aquaponics)
Tropical,32.34,1579.39,Banana + Papaya
Tropical,25.61,1977.5,Sugarcane + Legumes
Tropical,30.49,1038.26,Banana + Papaya
Tropical,26.16,844.45,Cassava + Legumes
Tropical,34.55,939.75,Sugarcane + Legumes
Tropical,25.09,1229.87,Sugarcane + Legumes
Tropical,32.36,928.21,Sugarcane + Legumes
Tropical,32.81,1930.79,Sugarcane + Legumes
Tropical,29.11,994.89,Cassava + Legumes
